Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,big5_p,mbti_intro_pearson,intro_p,mbti_t_pearson,t_p,,,,,,
12.86,56.08,76.79,68.61,31.73,0.1903,2.6993843588072008e-43,0.1458,6.663912129442528e-26,0.201,3.466763735275923e-48,,,,,,
id,generated,TRUE,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,That is terrible. Did they have insurance?,Did you suffer any injuries?,0,0,0,0,1,1,6,6,-0.138755202,-0.095236778,0.5683114528656006,0.5647111535072327,0.577428937,0.5992029905319214
1,That's so horrible. I hope you are okay.,Why did you feel guilty? People really shouldn't drive drunk.,1,0,0,0,0,1,3,6,-0.116138786,-0.178455696,0.5684651136398315,0.5307128429412842,0.26614418625831604,0.598658025
2,"Oh no, did you find out what happened?",Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,0,0,0,1,1,0,6,8,-0.009752005,-0.162210673,0.5478012561798096,0.44143450260162354,0.5718733072280884,0.4082723557949066
3,"Yes, I hope so too! I hope you have a speedy recovery!",Yeah he was punished hes in jail still,1,0,0,1,0,0,2,8,0.093757704,-0.168832034,0.5343194007873535,0.4987987279891968,0.15073832869529724,0.6326406598091125
4,Oh no! That is so sad.  How long did you have them together?,sorry to hear! do you have any idea about the break up? did you think about it?,1,1,0,0,1,1,6,4,0.04281085,0.6114277839660645,0.5294548869132996,0.33662736415863037,0.33445391058921814,0.14838579297065735
5,"that is not good, i hope you can find peace with your new partner",sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,1,1,0,0,0,0,3,3,0.6594021320343018,-0.06029126,0.3493741750717163,0.4128566086292267,0.3395465612411499,0.24494394659996033
6,"Oh no, I'm so sorry to hear that. I hope she's okay.","Ugh, those articles always get me too... :( What was wrong with her? ",1,0,0,1,0,1,4,6,-0.105131,0.05992616,0.5761241316795349,0.29349851608276367,0.2510133385658264,0.4143863618373871
7,I'm so sorry to hear that! ,Jeez! Its so unfortunate... very sad really. ,1,1,0,0,0,0,4,1,0.1007833331823349,0.25473305583000183,0.3461967706680298,0.3415297567844391,0.19988156855106354,0.3945264220237732
8,Oh no! I hope it wasn't too serious.,That is nice of you. What did you do?,0,1,0,0,0,1,8,6,-0.006035723,-0.044905528,0.5528684258460999,0.5297917127609253,0.4199085235595703,0.4766899645328522
9,I love singing!,Which one?,0,0,0,0,0,1,1,6,-0.001867265,-0.025412887,0.41335612535476685,0.5325540900230408,0.18828877806663513,0.5819388628005981
10,That's so great!  He's lucky to have you.,"He will, I have faith.",1,0,0,0,0,0,1,0,0.43298813700675964,0.037301063537597656,0.48899102210998535,0.5691631436347961,0.26219630241394043,0.4975831210613251
11,I hope he does too!,No problem. What kind of work does he do?,0,0,0,0,0,1,2,6,0.087772578,0.21923506259918213,0.5170127153396606,0.6098314523696899,0.2424568235874176,0.6534850597381592
12,"Wow, that is crazy. Did you confront them?",Thats not good. Do you own a gun?,0,0,0,0,1,1,6,6,-0.05978623,0.046067994087934494,0.5575092434883118,0.6309514045715332,0.46844950318336487,0.7184730768203735
13,I have a gun and I don't have a license.,That is always number one goal.,0,0,1,0,0,0,8,0,-0.31366244,-0.098065421,0.6255773305892944,0.4986228942871094,0.6704440116882324,0.6202324628829956
14,That's awesome!  I bet you are really happy for them.,3 years is a long time. How come?,1,0,0,0,0,1,2,6,-0.086970568,-0.104330674,0.5018447041511536,0.5574743747711182,0.31520700454711914,0.6504106521606445
15,Oh that's great! What do you like to do with your time there?,"Oh I see. They must miss you, too.",1,1,0,0,1,0,6,1,0.047844522,0.010231044,0.4726889729499817,0.5258216857910156,0.25667721033096313,0.3997601270675659
16,Oh wow! That is a pretty bad thing to do.,That isn't very nice.,1,0,0,0,0,0,1,1,-0.224202573,-0.114830256,0.5224834084510803,0.5449045300483704,0.4263589382171631,0.6285018920898438
17,You should get some cameras to see if you can find out who did it.,Yes. I do not have a Facebook.,0,0,0,1,0,0,8,0,-0.194485754,-0.309637427,0.6273331046104431,0.6031394600868225,0.6298242211341858,0.6062332987785339
18,"I can understand that. I know it is a long drive, but at least you were able to get it for that cheap.",Thats horrible.,1,1,0,0,0,0,0,1,-0.178442121,-0.09097752,0.5447853207588196,0.6022709608078003,0.5135682821273804,0.6146972179412842
19,That's terrible.  I hope you get it fixed.,Yes I do not like walmart.,1,0,0,1,0,0,3,0,-0.128968447,-0.244755119,0.7097517848014832,0.5332239270210266,0.4740082621574402,0.6429252624511719
20,That is a good friend! What did he do to you?,Thats horrible. Did you tell on him?,1,1,0,0,1,1,6,6,-0.05409345,0.10400225967168808,0.4243001639842987,0.5542202591896057,0.37663519382476807,0.5931558609008789
21,That is a terrible situation. I hope you can get through it.,Thats a tough situation.,1,1,0,0,0,0,3,1,-0.113070041,-0.134669542,0.5726352334022522,0.5615816712379456,0.399455726,0.560088038
22,That is great.  Do you have any plans?,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. ",1,1,0,0,1,0,6,8,0.13350948691368103,0.6794067621231079,0.619102418,0.5038033723831177,0.5169868469238281,0.26072636246681213
23,I feel like that with my daughter as well. She loves to nap. ,That's a full time job raising a human,0,0,1,0,0,0,0,1,0.25418591499328613,0.4037345349788666,0.41050928831100464,0.46580490469932556,0.2339085340499878,0.5412298440933228
24,Why is that?,"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",0,1,0,0,1,1,6,5,-0.048373535,0.3129843771457672,0.5282903909683228,0.5762181282043457,0.6043199896812439,0.45368969440460205
25,"I think that would be fun, but I think you should go somewhere with a good community.","That's a good idea! This way you can also meet friends for yourself, but also maybe meet new friend's for your children to hang out with while you do with their moms!",0,0,0,0,0,0,5,5,0.17560622096061707,1.3015486001968384,0.5720090866088867,0.33327287435531616,0.48084408044815063,0.1462121605873108
26,That's terrible. I hope she can find someone better.,oh man. i'm all about discipline! I don't like spoiled bratty kids,1,0,0,0,0,0,3,0,0.13169698417186737,0.4401150643825531,0.5985480546951294,0.22682338953018188,0.392400324,0.12679091095924377
27,i'm sure you're very proud of him,"yes, i've heard some parents don't ever say no to their kids. makes no sense",1,0,0,1,0,0,8,0,0.29700762033462524,0.10461874306201935,0.3461809754371643,0.3232872784137726,0.2544901371002197,0.33554527163505554
28,"Oh my god, I'm so sorry. I hope you are okay!",ok,1,0,0,0,0,0,4,6,-0.025726683,-0.10115841,0.5187737941741943,0.45856010913848877,0.14586536586284637,0.4921412467956543
29,That is so nice of you.  It's good that you have someone to look after you. ,Did things end amicably? I hope everything is good now!,1,1,0,0,0,1,1,3,0.15266607701778412,0.3829158842563629,0.5083080530166626,0.5793001651763916,0.27231574058532715,0.27743422985076904
