Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,big5_p,mbti_intro_pearson,intro_p,mbti_t_pearson,t_p,,,,,,
12.57,57.19,77.3,68.74,31.85,0.1704,6.261981339784677e-35,0.1812,2.4784425211018534e-39,0.2093,3.430454934105874e-52,,,,,,
id,generated,TRUE,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,Oh no! I hope you are okay!,Did you suffer any injuries?,1,0,0,0,0,1,3,6,-0.049557477,-0.095236778,0.5007998943328857,0.5647111535072327,0.17692622542381287,0.5992029905319214
1,Well that's good. I hope you're okay now.,Why did you feel guilty? People really shouldn't drive drunk.,1,0,0,0,0,1,3,6,0.020550199,-0.178455696,0.5985162854194641,0.5307128429412842,0.358842134,0.598658025
2,I'm sorry to hear that. What happened?,Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,1,0,0,1,1,0,4,8,-0.049587302,-0.162210673,0.5712270140647888,0.44143450260162354,0.4666053354740143,0.4082723557949066
3,"Yes, I hope so too!",Yeah he was punished hes in jail still,0,0,0,1,0,0,2,8,0.072434008,-0.168832034,0.5280014276504517,0.4987987279891968,0.264642596,0.6326406598091125
4,Oh no!  I'm sorry to hear that.  I hope you guys can work it out.,sorry to hear! do you have any idea about the break up? did you think about it?,1,1,0,0,0,1,4,4,0.5301781892776489,0.6114277839660645,0.5629814863204956,0.33662736415863037,0.29466143250465393,0.14838579297065735
5,"that is good, i hope you guys can work it out.",sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,1,1,0,0,0,0,3,3,0.23336748778820038,-0.06029126,0.4147375226020813,0.4128566086292267,0.4348524510860443,0.24494394659996033
6,Oh no! I'm so sorry to hear that. I hope she's doing better.,"Ugh, those articles always get me too... :( What was wrong with her? ",1,0,0,1,0,1,4,6,-0.25812766,0.05992616,0.5500200390815735,0.29349851608276367,0.20997881889343262,0.4143863618373871
7,I'm so sorry to hear that. I hope she is okay.,Jeez! Its so unfortunate... very sad really. ,1,1,0,0,0,0,4,1,-0.189573854,0.25473305583000183,0.5718504786491394,0.3415297567844391,0.2534647583961487,0.3945264220237732
8,Oh no! I hope he is okay!,That is nice of you. What did you do?,1,1,0,0,0,1,3,6,-0.157080323,-0.044905528,0.5033066272735596,0.5297917127609253,0.3130527138710022,0.4766899645328522
9,I love nursery songs!,Which one?,0,0,0,0,0,1,1,6,0.074705787,-0.025412887,0.40723949670791626,0.5325540900230408,0.18546174466609955,0.5819388628005981
10,That's great!  What kind of job is it?,"He will, I have faith.",1,0,0,0,1,0,6,0,0.22480183839797974,0.037301063537597656,0.5015740394592285,0.5691631436347961,0.426893413,0.4975831210613251
11,You are so lucky!,No problem. What kind of work does he do?,1,0,0,0,0,1,8,6,0.22551164031028748,0.21923506259918213,0.43324482440948486,0.6098314523696899,0.3038930594921112,0.6534850597381592
12,"Wow, that's pretty scary. Did you get hurt?  Did you get hurt?  Did you get hurt?  Did you get hurt?  Did you get hurt?  Did",Thats not good. Do you own a gun?,0,0,0,0,1,1,6,6,-0.08150658,0.046067994087934494,0.6373377442359924,0.6309514045715332,0.5098974108695984,0.7184730768203735
13,You should be able to do that.,That is always number one goal.,0,0,0,0,0,0,1,0,-0.022813827,-0.098065421,0.5675251483917236,0.4986228942871094,0.680150032,0.6202324628829956
14,That's awesome! I hope you have a great time!,3 years is a long time. How come?,1,0,0,0,0,1,2,6,0.2091299444437027,-0.104330674,0.49809515476226807,0.5574743747711182,0.20361202955245972,0.6504106521606445
15,"Oh wow, that's a long time! I hope you have a great time!","Oh I see. They must miss you, too.",1,1,0,0,0,0,2,1,0.2896052598953247,0.010231044,0.5139657258987427,0.5258216857910156,0.21571312844753265,0.3997601270675659
16,Oh no! Did you get out of work early?,That isn't very nice.,0,0,0,0,1,0,6,1,-0.076437399,-0.114830256,0.5587207674980164,0.5449045300483704,0.4886156916618347,0.6285018920898438
17,I would be too. I would be so mad.,Yes. I do not have a Facebook.,0,0,1,1,0,0,1,0,0.1117938980460167,-0.309637427,0.4619153141975403,0.6031394600868225,0.2871064245700836,0.6062332987785339
18,I would have been so mad!,Thats horrible.,0,1,1,0,0,0,1,1,0.088766657,-0.09097752,0.4409882426261902,0.6022709608078003,0.2644670307636261,0.6146972179412842
19,That is terrible. I hope you get it back soon.,Yes I do not like walmart.,1,0,0,1,0,0,3,0,0.017967414,-0.244755119,0.5817027688026428,0.5332239270210266,0.45269516110420227,0.6429252624511719
20,You are a good friend.,Thats horrible. Did you tell on him?,1,1,0,0,0,1,8,6,0.21590256690979004,0.10400225967168808,0.473842978,0.5542202591896057,0.48746106028556824,0.5931558609008789
21,That is terrible. I hope you can find a way to make it work out for you.,Thats a tough situation.,1,1,0,0,0,0,3,1,1.0347867012023926,-0.134669542,0.5621806979179382,0.5615816712379456,0.3937928378582001,0.560088038
22,I bet it is!  I love baby sleep!,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. ",0,1,0,0,0,0,2,8,0.8343591690063477,0.6794067621231079,0.3537251353263855,0.5038033723831177,0.2446925938129425,0.26072636246681213
23,It's good to have a good baby.,That's a full time job raising a human,1,0,0,0,0,0,1,1,0.488044411,0.4037345349788666,0.5487428307533264,0.46580490469932556,0.5195646286010742,0.5412298440933228
24,Why do you feel lonely?,"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",0,1,0,0,1,1,6,5,-0.061305493,0.3129843771457672,0.5269957780838013,0.5762181282043457,0.4982703924179077,0.45368969440460205
25,I think you should go to a club that lets you meet new people.,"That's a good idea! This way you can also meet friends for yourself, but also maybe meet new friend's for your children to hang out with while you do with their moms!",0,0,0,0,0,0,5,5,0.19999507069587708,1.3015486001968384,0.506316602,0.33327287435531616,0.5063096880912781,0.1462121605873108
26,I would be furious too!,oh man. i'm all about discipline! I don't like spoiled bratty kids,0,0,1,0,0,0,1,0,0.14950843155384064,0.4401150643825531,0.4699070453643799,0.22682338953018188,0.38583052158355713,0.12679091095924377
27,i would have been so mad!,"yes, i've heard some parents don't ever say no to their kids. makes no sense",0,0,1,1,0,0,1,0,0.728503942,0.10461874306201935,0.3023350238800049,0.3232872784137726,0.13808253407478333,0.33554527163505554
28,Oh no! I hope you didn't get sick!,ok,1,0,0,0,0,0,8,6,-0.00853391,-0.10115841,0.48639827966690063,0.45856010913848877,0.3435998857021332,0.4921412467956543
29,That's good. I hope you guys can work it out.,Did things end amicably? I hope everything is good now!,1,1,0,0,0,1,3,3,0.2929999828338623,0.3829158842563629,0.5282722115516663,0.5793001651763916,0.34035906195640564,0.27743422985076904
30,I'm glad you're doing better now.,"I understand that, I hope things work out well for you both in the end!",1,1,0,0,0,0,3,0,-0.101451099,0.6246755123138428,0.5940345525741577,0.5427873134613037,0.41559478640556335,0.2246592491865158
31,I bet that was a great feeling.,That is a very blessed day. It is something you will never forget.,1,1,0,0,0,0,1,7,-0.018989563,-0.061759204,0.5136290788650513,0.5309324860572815,0.4279860556125641,0.4282822608947754
32,That is a very good feeling. I am glad you are happy.,"Yes, I couldn't agree more. It is remarkable how your feeling suddenly change.",1,1,0,0,0,0,1,0,0.12438356876373291,-0.163899511,0.559838593,0.5579285025596619,0.4477883279323578,0.4282130300998688
33,"Yes, I have. It's so nice to have a good relationship with someone.",I bet that must have been nerve wracking until it happened.,0,0,1,0,0,0,1,1,1.0955578088760376,-0.172949329,0.5173920392990112,0.5625569224357605,0.2525523602962494,0.5388635396957397
34,That's true. I'm glad you're happy for you.,Oh I'm sure. I would not like to be in a situation like that. Good thing everything worked out for you.,1,1,0,0,0,0,0,8,0.20153097808361053,0.30454349517822266,0.5725793242454529,0.562540591,0.3479151725769043,0.34380099177360535
35,What happened?,Oh really? What happened with your family and friend then?,0,0,0,0,1,1,6,6,-0.037414283,-0.007515401,0.5492891073226929,0.5647129416465759,0.5849945545196533,0.5489872694015503
36,That's really sad. I hope you can find peace.,"Oh wow, that's awful. Stuff like that really teaches you to appreciate what you've got and to not take it for granted.",1,1,0,0,0,0,3,1,-0.254324824,0.035637334,0.5935847759246826,0.5689957737922668,0.3759194612503052,0.3674297332763672
37,It is always good to have a intuition.,"I agree, someimes we just know",0,1,0,0,0,0,8,0,0.020220257341861725,0.11410433053970337,0.5502618551254272,0.446895957,0.5585693120956421,0.5556061267852783
38,That's true,"exactly, i get that entirely!",0,0,0,1,0,0,0,0,0.1857225000858307,0.053013063967227936,0.5014013051986694,0.33465588092803955,0.4650667607784271,0.25411200523376465
39,That's awesome!  What kind of party was it?,That's great! How did they surprise you?,1,1,0,0,1,1,6,6,0.00757489,0.13308897614479065,0.44016680121421814,0.49445855617523193,0.46343138813972473,0.36706334352493286
40,"Wow, that's pretty cool. I bet you were really happy!","That is so sweet of them, I hope you enjoyed it!",1,1,0,0,0,0,1,2,0.3186495304107666,0.000615925,0.527636707,0.5084054470062256,0.30434322357177734,0.23234036564826965
41,Why do you feel lonely?,"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely.",0,1,0,0,1,0,6,1,-0.061305493,0.35670092701911926,0.5269957780838013,0.4680149555206299,0.4982703924179077,0.3669756352901459
42,I know what you mean. I have a friend who is a single guy and he is the same way.,Well i used to be lonely a lot but i eventually found someone. I think you will too.,1,0,1,1,0,0,0,8,0.38309696316719055,-0.039106354,0.4640667736530304,0.4154205918312073,0.35018467903137207,0.39160025119781494
43,I bet they were. I have a daughter and she's the same way.,"Yeah that is always odd to me, before they can talk they are already unique!",0,0,1,1,0,0,1,1,0.083610162,0.1893041580915451,0.477760911,0.4710049033164978,0.356114924,0.5694993734359741
44,"Oh wow, that is so cool! I bet they were so proud of you.","That is how it goes, sometimes you can just figure them out immediately",1,0,0,0,0,0,1,8,-0.13533479,0.1976805329322815,0.4538561999797821,0.5396274924278259,0.20395773649215698,0.5994311571121216
45,What did you have?,"I understand that one,they are my favorite place to eat",0,0,0,1,1,0,6,0,-0.006260715,-0.012691036,0.5220186710357666,0.5073058605194092,0.5366390943527222,0.5408533811569214
46,I would have been so mad,That has happened to me too many times to count,0,0,1,1,0,0,1,8,0.056724078953266144,-0.069671392,0.4996524751186371,0.5366334319114685,0.32792648673057556,0.4196528196334839
47,That's really cool. I bet you were so happy.,That must have been and intense and emotional moment for you.,1,1,0,0,0,0,1,1,0.17299911379814148,-0.053058863,0.5206141471862793,0.5389140248298645,0.28878337144851685,0.4286760091781616
48,That's good. I hope he learns from it and continues to learn from it.,"Uau, what a surreal moment.I always believe kids have a lot to teach us.",1,1,0,0,0,0,3,6,-0.048043482,0.18209409713745117,0.6105124354362488,0.5383648872375488,0.42683157324790955,0.4266524910926819
49,That's a good thing. I'm glad you're still with her.,Where you not secure in your self?,1,0,0,0,0,1,1,6,0.4220040738582611,0.10426775366067886,0.5750057101249695,0.4853150248527527,0.33579906821250916,0.4556182622909546
50,I'm sorry to hear that. I hope you can find peace.,"You can track her down to say sorry, or would that be creepy?",1,0,0,0,0,1,4,6,-0.196480304,0.20490124821662903,0.5954506397247314,0.5275691747665405,0.38049226999282837,0.490154892
51,"Wow, that's pretty messed up. I hope she's okay.  I hope she's okay.  I hope she's okay.  I hope she's okay.","Wow, so your going to take being a bad person to the grave. Maybe you'll see her in the next life?",1,0,0,0,0,1,2,5,-0.311351538,-0.022700466,0.7362375855445862,0.5478564500808716,0.24885021150112152,0.5129714012145996
52,That's great! I'm glad you're doing well.,Lucky you! That is rare. Maybe one day people will think of you like that?,1,1,0,0,0,0,1,5,-0.19507125,0.13175292313098907,0.5613760352134705,0.5245317220687866,0.23307332396507263,0.33855119347572327
53,I would be happy to help out.,I have something totally different. My boss is clueless to the world and have no business being a leader. ,1,0,0,1,0,0,1,0,-0.085175604,0.35624903440475464,0.5654637217521667,0.5572735071182251,0.494326115,0.48243606090545654
54,I'm a pastor.,Well I've been in the business all my life and have worked for some great people. So I pull from what I learned from them.,0,0,1,1,0,0,0,8,-0.040058665,0.4365592300891876,0.5052317380905151,0.511493444,0.45687904953956604,0.48234257102012634
55,"Wow, that's amazing! Congratulations!",It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often?,1,0,0,0,0,1,7,6,0.008362979,1.2469431161880493,0.5239995718002319,0.3193320631980896,0.2731935977935791,0.1481541395187378
56,I'm sorry to hear that. I hope she's doing better.,That is how life goes! Different schedules and demands -- I'm sure she's so thrilled when she *does* get to see you!,1,1,0,0,0,0,4,8,-0.228659093,0.5594967603683472,0.5967510938644409,0.31994691491127014,0.3220690190792084,0.1294407695531845
57,I bet it did!,"Wow, that is an amazing accomplishment!  Congratulations!  You gotta be feeling like you're on top of the world after that!",0,1,0,0,0,0,8,7,0.033597894,0.010791901499032974,0.45599496364593506,0.4645938277244568,0.3320748507976532,0.35816824436187744
