Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
7.78,55.68,75.29,62.76,27.99,"PearsonRResult(statistic=-0.01636313954331281, pvalue=0.23545045528176523)","PearsonRResult(statistic=0.0010066096748768249, pvalue=0.9418212723416529)","PearsonRResult(statistic=0.07064207257449559, pvalue=2.9271334684604694e-07)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,"oh no , was it an accident ?",Did you suffer any injuries?,0,0,0,0,1,1,6,6,-0.2428281605243683,-0.09523682296276093,0.2578269839286804,0.5647112131118774,0.5758522748947144,0.5992028713226318
1,well that ' s good for you . what was it in ?,Why did you feel guilty? People really shouldn't drive drunk.,0,0,0,0,1,1,6,6,-0.36848852038383484,-0.17845557630062103,0.17346075177192688,0.5307130813598633,0.2687033712863922,0.5986579656600952
2,"yes , maybe you can keep it up for a bit more",Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience.,0,0,0,1,0,0,5,8,0.18012553453445435,-0.030811317265033722,0.4269821047782898,0.45085006952285767,0.47590023279190063,0.6831036806106567
3,"oh wow , i hate when my aunt just been going through that !",Yeah he was punished hes in jail still.,0,0,1,1,0,0,1,8,0.15445761382579803,-0.1232537180185318,0.30719515681266785,0.49169257283210754,0.2533877193927765,0.7331024408340454
4,that sounds like a lot of people are going through those .,sorry to hear! do you have any idea about the break up? did you think about it ?,0,1,1,0,0,1,1,4,-0.17169153690338135,0.7718943357467651,0.3036263585090637,0.23957431316375732,0.5261915922164917,0.18274228274822235
5,i hope you can help some time !,sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,1,1,0,0,0,0,3,3,0.47038307785987854,-0.06029190123081207,0.24766108393669128,0.41285622119903564,0.269769549369812,0.24494388699531555
6,that is nice . what is the lottery ?,Which Concert?,0,0,0,0,1,1,1,6,-0.13904637098312378,0.008523687720298767,0.19583240151405334,0.49006807804107666,0.6766725778579712,0.39956581592559814
7,"i love those ! i bet you are excited to play , and i love to do well","Wow, that's awesome! I have never been to an actual concert.",1,0,0,0,0,0,2,1,0.6409353017807007,0.03300383687019348,0.33378443121910095,0.4764406681060791,0.148743137717247,0.2702370584011078
8,i ' m sorry to hear that . i ' m so sorry to hear that .,"Ugh, those articles always get me too... :( What was wrong with her? .",1,0,0,1,0,1,4,6,-0.19747725129127502,0.09057024866342545,0.2581265866756439,0.40196871757507324,0.23612454533576965,0.3776804804801941
9,that is terrible . i hope you ' re okay !,Jeez! Its so unfortunate... very sad really. .,1,1,0,0,0,0,3,1,0.5676753520965576,0.24881930649280548,0.1428232342004776,0.4539959728717804,0.12811045348644257,0.46620869636535645
