Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
9.20,56.49,77.87,69.37,29.37,"PearsonRResult(statistic=0.10851454934022124, pvalue=3.0756242102653816e-15)","PearsonRResult(statistic=0.03960550204084476, pvalue=0.004085274494245578)","PearsonRResult(statistic=0.15194220474820666, pvalue=1.635917582888353e-28)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,oh no ! i hate when people do not care about it ?,did you suffer any injuries ?,0,0,0,0,1,1,6,6,0.6954278945922852,-0.009465396404266357,0.1174251139163971,0.3212043046951294,0.2046595811843872,0.8787466287612915
1,i am so sorry to hear that .,why did you feel guilty ? people really should n't drive drunk .,1,0,0,0,0,1,4,6,0.39670705795288086,0.3217810094356537,0.2462070882320404,0.049905482679605484,0.26669126749038696,0.3360035717487335
2,i do not think they are going to be in the world,yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,0,0,0,1,0,0,8,8,-0.20413225889205933,-0.23055937886238098,0.2930460572242737,0.44164174795150757,0.44789788126945496,0.31657636165618896
3,i am so sorry to hear that .,yeah he was punished hes in jail still,1,0,0,1,0,0,4,8,0.39670705795288086,-0.27043482661247253,0.2462070882320404,0.5125981569290161,0.26669126749038696,0.5860861539840698
4,oh no ! that is terrible .,sorry to hear ! do you have any idea about the break up ? did you think about it ?,0,1,0,0,0,1,1,4,0.19858267903327942,0.8712034225463867,0.1805042177438736,0.14082255959510803,0.40371057391166687,0.18947088718414307
5,i am sorry to hear that .,sorry again ! hope you will get relief from this sadness . please concentrate on your interests to divert your mind from this .,1,1,0,0,0,0,4,3,0.2370942234992981,0.5929949283599854,0.21215258538722992,0.19024065136909485,0.3472554683685303,0.1431432068347931
6,what kind of music ?,which concert ?,0,0,0,0,1,1,6,6,-0.03979754447937012,-0.02341039478778839,0.2629649043083191,0.243820458650589,0.6428663730621338,0.7309843301773071
7,that is awesome ! i bet you were very excited !,"wow , that is awesome ! i have never been to an actual concert .",1,0,0,0,0,0,1,1,0.2085454910993576,0.48192986845970154,0.13668636977672577,0.1806362420320511,0.11367961019277573,0.16418838500976562
8,"oh no , i am so sorry to hear that .","ugh , those articles always get me too ... : ( what was wrong with her ?",1,0,0,1,0,1,4,6,0.20432491600513458,0.43090924620628357,0.3446824848651886,0.166977658867836,0.3263123333454132,0.21172723174095154
9,i am sorry to hear that . i hope you guys can be able to get through that .,jeez ! its so unfortunate ... very sad really .,1,1,0,0,0,0,3,1,0.4071449935436249,0.5704495906829834,0.2194899171590805,0.13437336683273315,0.157418891787529,0.11307182908058167
10,that is great . i am so happy for him .,that is nice of you . what did you do ?,1,1,0,0,0,1,1,6,0.2606533467769623,0.38639429211616516,0.21710774302482605,0.18378719687461853,0.13493409752845764,0.3853018879890442
11,that is awesome ! i bet you were very proud of him .,which one ?,1,0,0,0,0,1,1,6,0.7347145080566406,-0.052901022136211395,0.15879318118095398,0.22351938486099243,0.153509259223938,0.7562503814697266
12,oh no ! i am so sorry to hear that .,"he will , i have faith .",1,0,0,0,0,0,4,0,0.6366355419158936,-0.07339347898960114,0.1924244463443756,0.23498408496379852,0.19579702615737915,0.48106762766838074
13,i am sure he will be fine,no problem . what kind of work does he do ?,1,0,0,0,0,1,3,6,0.10674645006656647,-0.04251769930124283,0.3531751036643982,0.2170032560825348,0.23145851492881775,0.6035529375076294
14,that is terrible . did you find out who did it ?,thats not good . do you own a gun ?,0,0,0,0,1,1,6,6,0.29292890429496765,-0.03714669495820999,0.1947064995765686,0.19747397303581238,0.4729520082473755,0.5380418300628662
15,thats a good idea,that is always number one goal .,0,0,0,0,0,0,1,0,-0.004017435014247894,-0.0923723429441452,0.4903084635734558,0.3538398742675781,0.4205223619937897,0.5368794202804565
16,"wow , that is awesome ! i bet you are excited to have a party at the time .",3 years is a long time . how come ?,1,0,0,0,0,1,2,6,0.4034140408039093,0.08413610607385635,0.14974051713943481,0.15654084086418152,0.1398332566022873,0.6040459871292114
17,"wow , that is great ! i hope you have a great time !","oh i see . they must miss you , too .",1,1,0,0,0,0,2,1,0.39485201239585876,0.16330574452877045,0.1871551275253296,0.18961100280284882,0.10901951789855957,0.27736896276474
