Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
16.87,44.70,77.63,61.65,27.86,"PearsonRResult(statistic=0.20524367909489624, pvalue=3.960438056915336e-51)","PearsonRResult(statistic=0.11156961869919463, pvalue=4.884570850142005e-16)","PearsonRResult(statistic=0.17742601321806997, pvalue=1.8900694270973507e-38)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,That sounds really scary. I'm glad you're okay.,Did you suffer any injuries?,1,0,0,0,0,1,1,6,-0.2044045329093933,-0.09523682296276093,0.5855750441551208,0.5647112131118774,0.293980211019516,0.5992028713226318
1,"It's understandable to feel guilty, but it's important to remember that it was not your fault. You were lucky to not have been hurt.",Why did you feel guilty? People really shouldn't drive drunk.,1,0,0,0,0,1,8,6,-0.1466006338596344,-0.17845557630062103,0.5636862516403198,0.5307130813598633,0.5119065642356873,0.5986579656600952
2,"Sure, I'd be happy to share my experience with you.",Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience.,1,0,0,1,0,0,0,8,0.09685249626636505,-0.030811317265033722,0.5922672748565674,0.45085006952285767,0.4579601287841797,0.6831036806106567
3,"Yeah, it was a really tough time but I'm glad to be here now. Thanks for listening.",Yeah he was punished hes in jail still.,1,0,1,1,0,0,8,8,-0.09032805263996124,-0.1232537180185318,0.4980786442756653,0.49169257283210754,0.2693149447441101,0.7331024408340454
4,"I'm sorry to hear that. It's tough, but you'll get through it. Take some time for yourself and focus on your own happiness.",sorry to hear! do you have any idea about the break up? did you think about it ?,1,1,0,0,0,1,4,4,0.7533712387084961,0.7718943357467651,0.5667433142662048,0.23957431316375732,0.2676220238208771,0.18274228274822235
5,"It's understandable to feel that way. Take some time for yourself and do what makes you happy. If you need someone to talk to, I'm here for you.",sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,1,1,0,0,0,0,0,3,1.0262564420700073,-0.06029190123081207,0.5774637460708618,0.41285622119903564,0.2273034304380417,0.24494388699531555
6,Which concert did you go to?,Which Concert?,0,0,0,0,1,1,6,6,-0.12067775428295135,0.008523687720298767,0.49628931283950806,0.49006807804107666,0.3972328305244446,0.39956581592559814
7,That's amazing! How was the concert?,"Wow, that's awesome! I have never been to an actual concert.",1,0,0,0,1,0,6,1,0.15006934106349945,0.03300383687019348,0.4707178473472595,0.4764406681060791,0.23463748395442963,0.2702370584011078
8,That's really heartbreaking. I'm here for you if you need to talk or just need someone to listen.,"Ugh, those articles always get me too... :( What was wrong with her? .",1,0,0,1,0,1,1,6,-0.02850419282913208,0.09057024866342545,0.48948612809181213,0.40196871757507324,0.20456397533416748,0.3776804804801941
9,That's so heartbreaking. I'm sorry you had to read that. It's important to seek medical attention when necessary.,Jeez! Its so unfortunate... very sad really. .,1,1,0,0,0,0,4,1,-0.26590874791145325,0.24881930649280548,0.5444282293319702,0.4539959728717804,0.27144455909729004,0.46620869636535645
10,That's very kind of you. How is the baby doing now?,That is nice of you. What did you do?,1,1,0,0,1,1,6,6,0.32176047563552856,-0.044905439019203186,0.5546247363090515,0.5297918319702148,0.33771446347236633,0.4766899049282074
11,That's really sweet of you. I'm sure your friend and their baby appreciated it.,Which one?,1,0,0,0,0,1,1,6,0.7024877071380615,-0.02541298419237137,0.5378335118293762,0.5325542092323303,0.30472689867019653,0.5819387435913086
12,I'm sorry to hear that. I hope he finds something soon.,"He will, I have faith.",1,0,0,0,0,0,4,0,-0.10000571608543396,0.037301093339920044,0.5959171652793884,0.5691633820533752,0.40695759654045105,0.4975828230381012
13,You're welcome.,No problem. What kind of work does he do?,1,0,0,0,0,1,4,6,0.07992111146450043,0.21925504505634308,0.5286431312561035,0.6098313927650452,0.5285300016403198,0.6534850597381592
14,That's terrible.  Did you call the police?,Thats not good. Do you own a gun?,0,0,0,0,1,1,6,6,-0.06886407732963562,0.046068061143159866,0.635658323764801,0.6309509873390198,0.49485716223716736,0.718472957611084
15,I understand. Just be careful and make sure you know how to use it properly.,That is always number one goal.,1,0,0,0,0,0,0,0,-0.1624458134174347,-0.09806551039218903,0.6086112856864929,0.4986228942871094,0.5254026651382446,0.620232343673706
16,That's great news! I'm so happy for you. What are you planning to do when you visit them?,3 years is a long time. How come?,1,0,0,0,1,1,1,6,0.07561822235584259,-0.10433076322078705,0.5117650628089905,0.5574742555618286,0.20944593846797943,0.6504107713699341
17,That's great news! I'm so happy for you. What are you planning to do while you're there?,"Oh I see. They must miss you, too.",1,1,0,0,1,0,6,1,0.03564806282520294,0.010232001543045044,0.5006787180900574,0.5258216261863708,0.170354962348938,0.39976006746292114
18,That's really frustrating. Have you talked to him about it?,That isn't very nice.,1,0,0,0,1,0,6,1,0.16360366344451904,-0.11483034491539001,0.5191987752914429,0.5449047088623047,0.37999069690704346,0.6285017132759094
19,That's a tough situation. Maybe you can talk to him and let him know how you feel?,Yes. I do not have a Facebook.,1,0,0,1,1,0,5,0,0.2900606095790863,-0.30963778495788574,0.5152391195297241,0.6031391620635986,0.30213403701782227,0.6062334179878235
20,That's really frustrating. Maybe we can look for a better deal online or at a different store?,Thats horrible.,0,1,0,0,0,0,5,1,-0.05242818593978882,-0.09097778797149658,0.6358746290206909,0.602270781993866,0.3539291024208069,0.6146973371505737
21,"I'm sorry to hear that, maybe we can find a better deal online or at another store?",Yes I do not like walmart.,1,0,0,1,0,0,5,0,0.06914885342121124,-0.24475499987602234,0.6272268891334534,0.5332241654396057,0.423124223947525,0.6429256200790405
22,That must have been a difficult situation. I'm proud of you for being honest and loyal to both parties. Let me know if there's anything I can do to help.,Thats horrible. Did you tell on him?,1,1,0,0,0,1,1,6,-0.04276175796985626,0.10400211066007614,0.5759775638580322,0.5542203187942505,0.33318769931793213,0.5931561589241028
23,That's a tough situation. I'm here for you if you need anything.,Thats a tough situation.,1,1,0,0,0,0,1,1,-0.009043924510478973,-0.13467052578926086,0.5159957408905029,0.5615820288658142,0.30808770656585693,0.5600883960723877
24,That sounds lovely. You should take a nap too and enjoy the peace and quiet.,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. .",1,1,0,0,0,0,1,8,0.1227077767252922,0.5718225240707397,0.577107846736908,0.6071324944496155,0.4052143394947052,0.342896044254303
25,It's great to appreciate the little things. I'm glad we agree!,That's a full time job raising a human.,1,0,0,0,0,0,0,1,0.530310869216919,0.25917747616767883,0.5010871291160583,0.5752497315406799,0.29191333055496216,0.6324868202209473
26,I'm sorry to hear that. Have you tried video calling them?,"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",1,1,0,0,1,1,4,5,-0.10680541396141052,0.3129841983318329,0.5489497780799866,0.5762180685997009,0.448706716299057,0.4536897540092468
27,That sounds like a great idea! I hope you find some great friends in the group.,"That's a good idea! This way you can also meet friends for yourself, but also maybe meet new friend's for your children to hang out with while you do with their moms!",1,0,0,0,0,0,2,5,0.303428053855896,1.3015480041503906,0.4941079616546631,0.3332729935646057,0.2829688489437103,0.14621210098266602
28,That's really frustrating. Maybe you could talk to your friend about how you feel and see if you can come up with a solution together?,oh man. i'm all about discipline! I don't like spoiled bratty kids.,1,0,0,0,0,0,5,0,0.4580076038837433,0.2239021360874176,0.5319371819496155,0.21400660276412964,0.2836817502975464,0.11025691032409668
