Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,big5_p,mbti_intro_pearson,intro_p,mbti_t_pearson,t_p,,,,,,
13.11,54.24,77.26,67.71,31.53,0.1423,9.553498486904496e-25,0.1299,7.168470765385067e-21,0.1723,1.1573907039138627e-35,,,,,,
id,generated,TRUE,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,That is so scary! I bet you were terrified.,Did you suffer any injuries?,1,0,0,0,0,1,1,6,-0.24292466,-0.095236763,0.44142985343933105,0.5647111535072327,0.27889320254325867,0.5992029905319214
1,That is so sad. I hope they are ok now.,Why did you feel guilty? People really shouldn't drive drunk.,1,0,0,0,0,1,3,6,-0.134722874,-0.17845571,0.5472197532653809,0.5307128429412842,0.3145662844181061,0.5986580848693848
2,I'm sure it's not as bad as you think. I'm sure you had a great experience.,Yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,1,0,0,1,0,0,8,8,0.086223058,-0.162210658,0.5561554431915283,0.44143450260162354,0.4420417547225952,0.4082723557949066
3,I hope so too! I hope he gets to stay in jail for the rest of his life,Yeah he was punished hes in jail still,0,0,0,1,0,0,3,8,-0.082322091,-0.168832034,0.5136140584945679,0.498798668,0.31755751371383667,0.6326406002044678
4,"Oh no, I'm sorry to hear that. I hope things work out for you.",sorry to hear! do you have any idea about the break up? did you think about it?,1,1,0,0,0,1,4,4,0.6176853179931641,0.6114277839660645,0.5964556336402893,0.33662736415863037,0.3206380307674408,0.14838579297065735
5,that is so sad.  ,sorry again! hope you'll get relief from this sadness. Please concentrate on your interests to divert your mind from this.,1,1,0,0,0,0,1,3,0.25277960300445557,-0.06029129,0.1907011866569519,0.4128565788269043,0.29911887645721436,0.24494393169879913
6,I'm so sorry. I hope that she is okay.,"Ugh, those articles always get me too... :( What was wrong with her? ",1,0,0,1,0,1,3,6,-0.103460848,0.059926126,0.5548686981201172,0.29349851608276367,0.27661624550819397,0.4143863618373871
7,"Oh, I'm so sorry. That's so sad. I hope she's okay!",Jeez! Its so unfortunate... very sad really. ,1,1,0,0,0,0,4,1,-0.220433176,0.2547330856323242,0.5411379933357239,0.3415297269821167,0.18118546903133392,0.3945264220237732
8,Oh no! I hope he is okay!,That is nice of you. What did you do?,1,1,0,0,0,1,3,6,-0.157080337,-0.044905543,0.5033066272735596,0.5297916531562805,0.3130527138710022,0.4766899645328522
9,Oh that sounds like fun! I hope it wasn't too hard for him.,Which one?,1,0,0,0,0,1,1,6,0.2747955918312073,-0.02541288,0.49836084246635437,0.5325540900230408,0.2472112476825714,0.5819388628005981
10,"I am sure he will, he sounds like a great guy.","He will, I have faith.",1,0,0,0,0,0,1,0,-0.08181259,0.037301075,0.5123597383499146,0.5691631436347961,0.4413960874080658,0.4975831210613251
11,You should be able to find one soon!,No problem. What kind of work does he do?,1,0,0,0,0,1,3,6,-0.031719238,0.21923506259918213,0.5162206292152405,0.6098315119743347,0.41821661591529846,0.6534850597381592
12,That is not nice. Did you get hurt?,Thats not good. Do you own a gun?,0,0,0,0,1,1,6,6,0.038423281,0.046067975,0.5254629850387573,0.630951464,0.6265097260475159,0.7184731960296631
13,That is a good idea. Do you have a gun?,That is always number one goal.,0,0,0,0,1,0,6,0,0.012598827481269836,-0.098065436,0.5843193531036377,0.49862292408943176,0.6309123039245605,0.6202324628829956
14,That's awesome.  Where are you going?,3 years is a long time. How come?,1,0,0,0,1,1,6,6,0.20023435354232788,-0.104330674,0.5547863245010376,0.5574743151664734,0.48280125856399536,0.6504106521606445
15,Oh wow. I'm sorry to hear that. I hope you have a great time.,"Oh I see. They must miss you, too.",1,1,0,0,0,0,4,1,-0.080714002,0.010231059044599533,0.5635904669761658,0.5258217453956604,0.30978941917419434,0.39976009726524353
16,"I would be too, it's so annoying!",That isn't very nice.,0,0,1,0,0,0,1,1,-0.091624394,-0.114830226,0.4456174373626709,0.5449045300483704,0.29464995861053467,0.628501832
17,That is a terrible thing to do. I hope he got the help he needed.,Yes. I do not have a Facebook.,1,0,0,1,0,0,3,0,-0.205949426,-0.309637398,0.592228353,0.6031394600868225,0.42379486560821533,0.6062332987785339
18,I hate when people try to do that.  I would have been so upset.,Thats horrible.,0,1,1,0,0,0,1,1,-0.145683572,-0.090977535,0.665471613,0.6022710204124451,0.32887664437294006,0.614697278
19,"I am sorry, I hope you can find a solution for you",Yes I do not like walmart.,1,0,0,1,0,0,3,0,0.12103661894798279,-0.244755119,0.5634329915046692,0.5332239270210266,0.4909672141075134,0.6429252624511719
20,That is very nice of you. It is good to have friends who are loyal.,Thats horrible. Did you tell on him?,1,1,0,0,0,1,1,6,0.4688470661640167,0.10400227457284927,0.5142309069633484,0.5542202591896057,0.4540180265903473,0.5931558609008789
21,I'm sorry.  I hope you can find peace,Thats a tough situation.,1,1,0,0,0,0,4,1,0.17540547251701355,-0.134669542,0.5625519156455994,0.5615816116333008,0.35716673731803894,0.560088038
22,That's great. I bet it's so sweet to see the little ones getting to do something fun and relaxing.,"I guess it makes you appreciate things you used to take for granted, lol. But it doesn't last forever and is worth it. ",1,1,0,0,0,0,2,8,0.14324994385242462,0.6794067621231079,0.5354495644569397,0.5038033127784729,0.23948411643505096,0.26072636246681213
23,"Yeah, it's always a good thing to have a baby to take for granted. ",That's a full time job raising a human,0,0,0,0,0,0,0,1,1.071547508239746,0.40373456478118896,0.5178831219673157,0.46580493450164795,0.3804062604904175,0.5412298440933228
24,I know what you mean.  I have a lot of friends in different countries and I feel lonely too,"Oh, I'm sure you are lonely. Maybe you can join some kind of club that lets you meet new friends?",1,1,1,0,0,1,0,5,-0.040482201,0.3129843473434448,0.5161271095275879,0.5762181282043457,0.3520326614379883,0.45368972420692444
25,"Oh, I see. Maybe you can join some kind of group for moms. Maybe you can meet some cool people in the area?","That's a good idea! This way you can also meet friends for yourself, but also maybe meet new friend's for your children to hang out with while you do with their moms!",0,0,0,0,0,0,5,5,0.570070744,1.3015486001968384,0.5326358079910278,0.33327290415763855,0.20791596174240112,0.1462121605873108
26,I would be furious if I were you. I would have to throw my kids out.,oh man. i'm all about discipline! I don't like spoiled bratty kids,0,0,1,0,0,0,1,0,0.18768611550331116,0.4401150345802307,0.4911874532699585,0.22682341933250427,0.507012129,0.12679089605808258
27,yea that's really sad. i hope he gets a new home and gets better,"yes, i've heard some parents don't ever say no to their kids. makes no sense",1,0,0,1,0,0,3,0,-0.220312268,0.10461874306201935,0.35077521204948425,0.3232872784137726,0.14908793568611145,0.33554527163505554
28,Oh no! I hope it was not an insect.,ok,0,0,0,0,0,0,8,6,-0.234761596,-0.10115841,0.6015341281890869,0.45856005,0.6170312166213989,0.4921412467956543
29,That's really good to hear. I'm glad you have a good relationship with your ex.,Did things end amicably? I hope everything is good now!,1,1,0,0,0,1,1,3,1.109855055809021,0.3829158842563629,0.5571322441101074,0.5793002247810364,0.32385534048080444,0.27743422985076904
30,I'm sorry to hear that. I hope things work out for you and your relationship.,"I understand that, I hope things work out well for you both in the end!",1,1,0,0,0,0,3,0,1.5805712938308716,0.6246755123138428,0.5872249007225037,0.5427873134613037,0.3223843276500702,0.22465923428535461
31,I am so happy for you! What was the first thing you did after the first child?,That is a very blessed day. It is something you will never forget.,1,1,0,0,1,0,6,7,0.8139678239822388,-0.061759174,0.45448940992355347,0.5309325456619263,0.21280880272388458,0.428282231
32,I am so happy for you.,"Yes, I couldn't agree more. It is remarkable how your feeling suddenly change.",1,1,0,0,0,0,1,0,-0.148573354,-0.163899466,0.5089400410652161,0.5579284429550171,0.28749358654022217,0.42821305990219116
33,"Yeah, it's nice to be able to take the time to appreciate something.",I bet that must have been nerve wracking until it happened.,1,0,0,0,0,0,1,1,0.082304187,-0.172949314,0.5937580466270447,0.5625569224357605,0.4460448920726776,0.5388635396957397
34,I'm glad to hear it! It's always good to be positive and optimistic.,Oh I'm sure. I would not like to be in a situation like that. Good thing everything worked out for you.,1,1,0,0,0,0,1,8,-0.071470097,0.30454346537590027,0.49430063366889954,0.562540591,0.19938769936561584,0.34380102157592773
35,What incident?,Oh really? What happened with your family and friend then?,0,0,0,0,1,1,6,6,-0.019448087,-0.007515356,0.5649728178977966,0.5647130012512207,0.6635972261428833,0.5489872694015503
36,I'm glad you had a good experience with her. I hope you can find peace and love in her and your friend.,"Oh wow, that's awful. Stuff like that really teaches you to appreciate what you've got and to not take it for granted.",1,1,0,0,0,0,3,1,0.13822592794895172,0.035637356,0.5818248391151428,0.5689957737922668,0.24073217809200287,0.3674297332763672
37,"I agree, sometimes we just have to learn how to be a better listener.","I agree, someimes we just know",1,1,0,0,0,0,0,0,0.20429229736328125,0.11410434544086456,0.5739466547966003,0.446895957,0.30310606956481934,0.5556061267852783
38,"Exactly, and we all need to be able to have that intuition","exactly, i get that entirely!",0,0,0,1,0,0,0,0,0.16595476865768433,0.053013041615486145,0.4011441469192505,0.33465588092803955,0.33229079842567444,0.25411203503608704
39,That's so nice of them! What kind of party?,That's great! How did they surprise you?,1,1,0,0,1,1,6,6,0.12048584967851639,0.13308897614479065,0.474214643,0.4944585859775543,0.29328006505966187,0.36706334352493286
40,That sounds like a great time! I hope you guys had a great time!,"That is so sweet of them, I hope you enjoyed it!",1,1,0,0,0,0,1,2,0.3217083215713501,0.000615865,0.4756354093551636,0.5084054470062256,0.18210433423519135,0.23234036564826965
41,That is so sad. I feel you.,"Awww, That sucks man. Hopefully they don't say mean things to you about being lonely.",1,1,0,0,0,0,1,1,-0.198158711,0.3567008972167969,0.47783708572387695,0.46801501512527466,0.2669864296913147,0.36697566509246826
42,It's okay. I understand. I hope they do not take you for granted.,Well i used to be lonely a lot but i eventually found someone. I think you will too.,1,0,0,1,0,0,0,8,0.12087013572454453,-0.039106354,0.5481125116348267,0.4154205918312073,0.41839808225631714,0.39160022139549255
43,I can imagine. I hope they are more like you than you are.,"Yeah that is always odd to me, before they can talk they are already unique!",1,0,0,1,0,0,2,1,0.06594044,0.1893041729927063,0.5447214841842651,0.4710049033164978,0.44078394770622253,0.5694993734359741
44,I don't think I've ever heard of that before. It sounds like you have some interesting childhoods.,"That is how it goes, sometimes you can just figure them out immediately",0,0,0,0,1,0,1,8,0.020592939108610153,0.1976805478334427,0.6243587136268616,0.5396275520324707,0.4595754146575928,0.5994311571121216
45,Oh yeah? What was it?,"I understand that one,they are my favorite place to eat",0,0,0,1,1,0,6,0,-0.118880004,-0.012691066,0.5619121789932251,0.5073058605194092,0.5509510040283203,0.5408533811569214
46,"Oh man, that's horrible. I'm sorry. I hope you get some rest.",That has happened to me too many times to count,1,0,0,1,0,0,4,8,-0.024501041,-0.069671378,0.5671114325523376,0.5366334319114685,0.29197174310684204,0.4196528196334839
47,I can imagine. I hope you had a great time.,That must have been and intense and emotional moment for you.,1,1,0,0,0,0,2,1,0.12104441225528717,-0.053058885,0.562362015,0.5389140844345093,0.3875073790550232,0.42867597937583923
48,I'm glad you did. I wish I could go back and experience the same experience.,"Uau, what a surreal moment.I always believe kids have a lot to teach us.",1,1,1,0,0,0,8,6,-0.116395742,0.18209409713745117,0.5928500294685364,0.5383650064468384,0.3483826220035553,0.4266524612903595
49,"I can understand that, I think it's time to look at the positives of life.",Where you not secure in your self?,1,0,0,0,0,1,1,6,0.3808317482471466,0.10426774621009827,0.5855500102043152,0.4853150248527527,0.4179595410823822,0.455618292
50,"I know how you feel. It's hard to be a parent, but I think most people are still okay with it.","You can track her down to say sorry, or would that be creepy?",1,0,1,0,0,1,0,6,0.6594148874282837,0.20490126311779022,0.5363654494285583,0.5275691747665405,0.33191758394241333,0.490154892
51,That's horrible.  I'm sorry to hear that.  How did you find out?,"Wow, so your going to take being a bad person to the grave. Maybe you'll see her in the next life?",1,0,0,0,1,1,4,5,-0.253719985,-0.022700459,0.6937981247901917,0.5478565096855164,0.367235005,0.5129714012145996
52,That is awesome. I bet you are proud.,Lucky you! That is rare. Maybe one day people will think of you like that?,1,1,0,0,0,0,2,5,-0.059969351,0.13175290822982788,0.47247976064682007,0.5245317220687866,0.4030914604663849,0.3385511636734009
53,I wish I could be like you. ,I have something totally different. My boss is clueless to the world and have no business being a leader. ,1,0,0,1,0,0,8,0,0.3940596282482147,0.35624903440475464,0.4209999442100525,0.5572735667228699,0.3744593560695648,0.48243609070777893
54,I think that is a very wise idea. I wish I could be like you.,Well I've been in the business all my life and have worked for some great people. So I pull from what I learned from them.,1,0,0,1,0,0,1,8,0.02554157,0.4365592300891876,0.5374639630317688,0.511493444,0.41276219487190247,0.48234260082244873
55,Wow that's great. I bet she's very proud.,It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often?,1,0,0,0,0,1,2,6,-0.248115271,1.2469431161880493,0.4735410213470459,0.3193320631980896,0.35249343514442444,0.1481541097164154
56,"Wow, I bet you are so excited! I bet she is so happy!",That is how life goes! Different schedules and demands -- I'm sure she's so thrilled when she *does* get to see you!,1,1,0,0,0,0,2,8,0.00520885,0.5594967603683472,0.464060903,0.31994688510894775,0.23001980781555176,0.1294407695531845
57,I am sure you will do great!,"Wow, that is an amazing accomplishment!  Congratulations!  You gotta be feeling like you're on top of the world after that!",1,1,0,0,0,0,2,7,0.1100589781999588,0.010791882872581482,0.4607859253883362,0.4645938575267792,0.2787603735923767,0.35816821455955505
58,That is so awesome!  You must have been so proud of yourself!,"My first thought was ""California"" but then there's Venice [Italy] and then either way, that's an amazing destination!",1,0,0,0,0,0,1,8,-0.28869161,0.011205408722162247,0.36634722352027893,0.28328096866607666,0.23184631764888763,0.19574329257011414
59,That's so cool. I've never been there.,"Oh, wow.  Not only to be able to do all the running but to view the scenery!",1,0,0,0,0,0,1,1,-0.188592196,-0.166785777,0.5508933067321777,0.4823891520500183,0.3021591901779175,0.5534918308258057
