Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
0.0816,0.4481,0.7654,0.5964,0.2129,"PearsonRResult(statistic=0.053773069218037164, pvalue=9.62013255569803e-05)","PearsonRResult(statistic=-0.022786244863338898, pvalue=0.09861045448444639)","PearsonRResult(statistic=0.11149885658958646, pvalue=5.228374610267585e-16)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,oh no ! i am sorry to hear that . i hope you were able to get them back home .,did you suffer any injuries ?,1,0,0,0,0,1,4,6,0.5509238243103027,-0.009465396404266357,0.1310797929763794,0.3212043046951294,0.11496793478727341,0.8787466287612915
1,i am sorry to hear that . i hope you were able to get it fixed .,why did you feel guilty ? people really should n't drive drunk .,1,0,0,0,0,1,4,6,0.3329210877418518,0.3217810094356537,0.2662183940410614,0.049905482679605484,0.2469043880701065,0.3360035717487335
2,i am sure you will be fine .,yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,1,0,0,1,0,0,5,8,0.38480696082115173,-0.23055937886238098,0.2288520336151123,0.44164174795150757,0.3011496961116791,0.31657636165618896
3,i am sure you will be fine .,yeah he was punished hes in jail still,1,0,0,1,0,0,5,8,0.38480696082115173,-0.27043482661247253,0.2288520336151123,0.5125981569290161,0.3011496961116791,0.5860861539840698
4,i bet it was a bit of fun .,sorry to hear ! do you have any idea about the break up ? did you think about it ?,0,1,0,0,0,1,1,4,0.15602238476276398,0.8712034225463867,0.25575971603393555,0.14082255959510803,0.33534538745880127,0.18947088718414307
5,i am sure you will not have a good time to get a little bit .,sorry again ! hope you will get relief from this sadness . please concentrate on your interests to divert your mind from this .,1,1,0,0,0,0,1,3,0.17279067635536194,0.5929949283599854,0.29255518317222595,0.19024065136909485,0.38974645733833313,0.1431432068347931
6,i love it when i was a kid .,which concert ?,0,0,1,0,0,1,8,6,-0.09305359423160553,-0.02341039478778839,0.28678956627845764,0.243820458650589,0.33449292182922363,0.7309843301773071
7,i love it when i was a kid .,"wow , that is awesome ! i have never been to an actual concert .",0,0,1,0,0,0,8,1,-0.09305359423160553,0.48192986845970154,0.28678956627845764,0.1806362420320511,0.33449292182922363,0.16418838500976562
8,i am sorry to hear that . i hope you find out of it .,"ugh , those articles always get me too ... : ( what was wrong with her ?",1,0,0,1,0,1,4,6,0.34445932507514954,0.43090924620628357,0.1849939525127411,0.166977658867836,0.24066080152988434,0.21172723174095154
9,i am sorry to hear that . i hope you are okay .,jeez ! its so unfortunate ... very sad really .,1,1,0,0,0,0,4,1,0.3417092263698578,0.5704495906829834,0.19131752848625183,0.13437336683273315,0.22823657095432281,0.11307182908058167
10,that is so sad . i am sorry to hear that .,that is nice of you . what did you do ?,1,1,0,0,0,1,4,6,0.3974722921848297,0.38639429211616516,0.1753900796175003,0.18378719687461853,0.18715348839759827,0.3853018879890442
11,that is so sweet . i am glad you are ok now .,which one ?,1,0,0,0,0,1,1,6,0.5763498544692993,-0.052901022136211395,0.20139802992343903,0.22351938486099243,0.124393992125988,0.7562503814697266
12,that is great . i hope he does not get any job that you are going to be a job or something ?,"he will , i have faith .",1,0,0,0,1,0,2,0,0.36551716923713684,-0.07339347898960114,0.10218456387519836,0.23498408496379852,0.11542890965938568,0.48106762766838074
13,i am sure he will be fine .,no problem . what kind of work does he do ?,1,0,0,0,0,1,3,6,0.15222248435020447,-0.04251769930124283,0.2790301740169525,0.2170032560825348,0.2916192412376404,0.6035529375076294
14,oh no ! i hate when that happens .,thats not good . do you own a gun ?,0,0,1,0,0,1,0,6,0.4947885572910309,-0.03714669495820999,0.1433601677417755,0.19747397303581238,0.18510541319847107,0.5380418300628662
15,that is a real bummer . i hope you are able to get a little bit .,that is always number one goal .,1,0,0,0,0,0,3,0,0.12845024466514587,-0.0923723429441452,0.29094427824020386,0.3538398742675781,0.19841697812080383,0.5368794202804565
16,that is so exciting ! i am sure you will be fine !,3 years is a long time . how come ?,1,0,0,0,0,1,1,6,0.5488511323928833,0.08413610607385635,0.1311706155538559,0.15654084086418152,0.06866169720888138,0.6040459871292114
17,i am sure you will be fine .,"oh i see . they must miss you , too .",1,1,0,0,0,0,5,1,0.38480696082115173,0.16330574452877045,0.2288520336151123,0.18961100280284882,0.3011496961116791,0.27736896276474
18,that is terrible . did you ask him to get it fixed ?,that is not very nice .,0,0,0,0,1,0,6,1,0.46422722935676575,-0.1751653254032135,0.2591269910335541,0.31304624676704407,0.5697809457778931,0.6443033218383789
19,i am sorry to hear that . i hope you are able to find out of it .,yes . i do not have a facebook .,1,0,0,0,0,0,4,0,0.29782071709632874,-0.18149229884147644,0.2185627967119217,0.296931654214859,0.2431073933839798,0.442750483751297
20,that is awful . i am sorry to hear that .,thats horrible .,1,1,0,0,0,0,4,1,0.40558183193206787,0.15028351545333862,0.17914985120296478,0.34677940607070923,0.2464589774608612,0.5057412385940552
