Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
0.0639,0.3840,0.7834,0.6200,0.2511,"PearsonRResult(statistic=0.044112412431163206, pvalue=0.0013811301005069786)","PearsonRResult(statistic=-0.004163651535260519, pvalue=0.7628362873045188)","PearsonRResult(statistic=0.06751100784841128, pvalue=9.662475536797028e-07)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,oh no ! that is so sad . i am sorry to hear that .,did you suffer any injuries ?,1,0,0,0,0,1,4,6,0.5717909336090088,-0.009465396404266357,0.11688083410263062,0.3212043046951294,0.12356827408075333,0.8787466287612915
1,that is terrible . i hope you did not get hurt .,why did you feel guilty ? people really should n't drive drunk .,1,0,0,0,0,1,8,6,0.1392057090997696,0.3217810094356537,0.17644022405147552,0.049905482679605484,0.2921445667743683,0.3360035717487335
2,i am so sorry to hear that . i have been there .,yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,1,0,1,1,0,0,4,8,0.4121423065662384,-0.23055937886238098,0.20712429285049438,0.44164174795150757,0.23477719724178314,0.31657636165618896
3,i am sure you will do that .,yeah he was punished hes in jail still,1,0,0,1,0,0,8,8,0.5831888914108276,-0.27043482661247253,0.20491813123226166,0.5125981569290161,0.3577791452407837,0.5860861539840698
4,that is a good idea .,sorry to hear ! do you have any idea about the break up ? did you think about it ?,0,1,0,0,0,1,1,4,0.2187804877758026,0.8712034225463867,0.2978343069553375,0.14082255959510803,0.5798231363296509,0.18947088718414307
5,i am sure you will get it,sorry again ! hope you will get relief from this sadness . please concentrate on your interests to divert your mind from this .,1,1,0,0,0,0,8,3,0.15320265293121338,0.5929949283599854,0.3849550783634186,0.19024065136909485,0.32155701518058777,0.1431432068347931
6,that is awesome . what did you do ?,which concert ?,1,0,0,0,1,1,6,6,0.4628882110118866,-0.02341039478778839,0.24902677536010742,0.243820458650589,0.3649192452430725,0.7309843301773071
7,that is awesome . i love the same !,"wow , that is awesome ! i have never been to an actual concert .",1,0,1,0,0,0,1,1,0.44188645482063293,0.48192986845970154,0.2033032327890396,0.1806362420320511,0.09372644871473312,0.16418838500976562
8,that is sad . i am sorry to hear that .,"ugh , those articles always get me too ... : ( what was wrong with her ?",1,0,0,1,0,1,4,6,0.3766578435897827,0.43090924620628357,0.17116126418113708,0.166977658867836,0.2516757547855377,0.21172723174095154
9,that is a good thing to do . i am sure you will find a better place .,jeez ! its so unfortunate ... very sad really .,1,1,0,0,0,0,8,1,0.2378922998905182,0.5704495906829834,0.11486710608005524,0.13437336683273315,0.23670193552970886,0.11307182908058167
10,that is so sad . i am glad you did not have to do that .,that is nice of you . what did you do ?,1,1,0,0,0,1,8,6,0.4617946445941925,0.38639429211616516,0.18823513388633728,0.18378719687461853,0.17975731194019318,0.3853018879890442
11,that is great . i am glad you did not have to do that .,which one ?,1,0,0,0,0,1,1,6,0.49676597118377686,-0.052901022136211395,0.2114129364490509,0.22351938486099243,0.23174859583377838,0.7562503814697266
12,"that is good , i hope you get it !","he will , i have faith .",1,0,0,0,0,0,2,0,0.7510125637054443,-0.07339347898960114,0.30922991037368774,0.23498408496379852,0.3792498707771301,0.48106762766838074
13,i am sure he will be fine .,no problem . what kind of work does he do ?,1,0,0,0,0,1,3,6,0.15222248435020447,-0.04251769930124283,0.2790301740169525,0.2170032560825348,0.2916192412376404,0.6035529375076294
14,oh no ! that is terrible . i would have been so scared .,thats not good . do you own a gun ?,0,0,1,0,0,1,1,6,0.14974573254585266,-0.03714669495820999,0.1448708027601242,0.19747397303581238,0.12187038362026215,0.5380418300628662
15,i am sure you will find a better place .,that is always number one goal .,1,0,0,0,0,0,8,0,0.22278372943401337,-0.0923723429441452,0.2039693146944046,0.3538398742675781,0.37319260835647583,0.5368794202804565
16,that is exciting ! what are you going to do ?,3 years is a long time . how come ?,1,0,0,0,1,1,6,6,0.7664141654968262,0.08413610607385635,0.17198322713375092,0.15654084086418152,0.10588407516479492,0.6040459871292114
17,that is a good idea .,"oh i see . they must miss you , too .",0,1,0,0,0,0,1,1,0.2187804877758026,0.16330574452877045,0.2978343069553375,0.18961100280284882,0.5798231363296509,0.27736896276474
18,"oh no , that is terrible . did you get hurt ?",that is not very nice .,1,0,0,0,1,0,6,1,0.2584311068058014,-0.1751653254032135,0.2619799077510834,0.31304624676704407,0.49735382199287415,0.6443033218383789
