Emo_acc,ER_acc,IP_acc,EX_acc,EI_acc,big5_pearson,mbti_intro_pearson,mbti_t_pearson
0.0846,0.4513,0.7814,0.6198,0.2277,"PearsonRResult(statistic=0.08922779920592187, pvalue=9.194490446358207e-11)","PearsonRResult(statistic=0.01575707345331532, pvalue=0.25343276330305636)","PearsonRResult(statistic=0.08042689161069906, pvalue=5.272709135781816e-09)"
id,generated,true,ER_g,ER_t,IP_g,IP_t,EX_g,EX_t,EI_g,EI_t,big5_g,big5_t,mbti_i_g,mbti_i_t,mbti_t_g,mbti_t_t
0,oh no ! that is horrible ! i am glad you are okay .,did you suffer any injuries ?,1,0,0,0,0,1,1,6,0.7828311920166016,-0.009465396404266357,0.11325135082006454,0.3212043046951294,0.1853620409965515,0.8787466287612915
1,that is not good . i hope you can find a new one day .,why did you feel guilty ? people really should n't drive drunk .,1,0,0,0,0,1,3,6,0.2451115846633911,0.3217810094356537,0.17655041813850403,0.049905482679605484,0.31644633412361145,0.3360035717487335
2,i bet you were very proud of yourself .,yeah i wanted to tell you about the time i was hit by a drunk driver im so happy to still be alive after that experience,1,0,0,1,0,0,1,8,0.9162455797195435,-0.23055937886238098,0.16289100050926208,0.44164174795150757,0.3193804621696472,0.31657636165618896
3,i would have been so scared of that . i would have been a lot of people .,yeah he was punished hes in jail still,0,0,1,1,0,0,1,8,-0.09474661946296692,-0.27043482661247253,0.19364741444587708,0.5125981569290161,0.20886221528053284,0.5860861539840698
4,oh no ! that is horrible ! i am sorry to hear that .,sorry to hear ! do you have any idea about the break up ? did you think about it ?,1,1,0,0,0,1,4,4,0.6407458782196045,0.8712034225463867,0.10443689674139023,0.14082255959510803,0.21720729768276215,0.18947088718414307
5,i am glad you are able to get it back up .,sorry again ! hope you will get relief from this sadness . please concentrate on your interests to divert your mind from this .,1,1,0,0,0,0,4,3,0.3717736601829529,0.5929949283599854,0.30530625581741333,0.19024065136909485,0.38449209928512573,0.1431432068347931
6,that is awesome ! what are you going to do ?,which concert ?,1,0,0,0,1,1,6,6,1.0046306848526,-0.02341039478778839,0.20133203268051147,0.243820458650589,0.10194461047649384,0.7309843301773071
7,that is awesome ! i bet you were excited !,"wow , that is awesome ! i have never been to an actual concert .",1,0,0,0,0,0,1,1,0.23187464475631714,0.48192986845970154,0.1519363671541214,0.1806362420320511,0.11328302323818207,0.16418838500976562
8,i am so sorry to hear that . i hope you are able to find her .,"ugh , those articles always get me too ... : ( what was wrong with her ?",1,0,0,1,0,1,4,6,0.31934109330177307,0.43090924620628357,0.24092307686805725,0.166977658867836,0.18816399574279785,0.21172723174095154
9,i am sorry to hear that . i hope you are able to find her .,jeez ! its so unfortunate ... very sad really .,1,1,0,0,0,0,4,1,0.31243401765823364,0.5704495906829834,0.21641805768013,0.13437336683273315,0.2457815706729889,0.11307182908058167
